cliente_id,sector_industrial,antiguedad_meses,licencias_contratadas,tipo_soporte,metodo_pago,churn
CLI-0001,Educación / EdTech,9,8,Básico,Tarjeta de Crédito,1
CLI-0002,Retail y Comercio,3,16,Premium,Tarjeta de Crédito,1
CLI-0003,Educación / EdTech,15,11,Básico,Tarjeta de Crédito,0
CLI-0004,Manufactura Avanzada,8,33,Básico,Tarjeta de Crédito,0
CLI-0005,Logística y Distribución,10,19,Básico,Tarjeta de Crédito,1
CLI-0006,Fintech & Banca,7,21,Básico,PayPal Business,0
CLI-0007,Manufactura Avanzada,11,32,Básico,Tarjeta de Crédito,0
CLI-0008,Educación / EdTech,15,18,Básico,PayPal Business,0
CLI-0009,Salud & Pharma,16,11,Básico,PayPal Business,0
CLI-0010,Entretenimiento & Medios,19,20,Básico,Tarjeta de Crédito,0
CLI-0011,Fintech & Banca,4,33,Premium,PayPal Business,0
CLI-0012,Retail y Comercio,7,14,Premium,Tarjeta de Crédito,0
CLI-0013,Entretenimiento & Medios,8,31,Básico,Transferencia Bancaria (ACH),1
CLI-0014,Salud & Pharma,48,22,Premium,Tarjeta de Crédito,0
CLI-0015,Retail y Comercio,42,16,Premium,PayPal Business,0
CLI-0016,Logística y Distribución,4,20,Básico,PayPal Business,0
CLI-0017,Logística y Distribución,3,8,Básico,Transferencia Bancaria (ACH),1
CLI-0018,Retail y Comercio,27,5,Básico,PayPal Business,0
CLI-0019,Entretenimiento & Medios,7,8,Premium,Transferencia Bancaria (ACH),0
CLI-0020,Educación / EdTech,4,15,Premium,Tarjeta de Crédito,1
CLI-0021,Fintech & Banca,23,46,Premium,Transferencia Bancaria (ACH),0
CLI-0022,Entretenimiento & Medios,23,20,Básico,Tarjeta de Crédito,0
CLI-0023,Salud & Pharma,9,5,Básico,Transferencia Bancaria (ACH),0
CLI-0024,Entretenimiento & Medios,8,21,Básico,Transferencia Bancaria (ACH),1
CLI-0025,Retail y Comercio,21,20,Básico,Tarjeta de Crédito,0
CLI-0026,Educación / EdTech,4,16,Premium,PayPal Business,0
CLI-0027,Manufactura Avanzada,23,57,Básico,PayPal Business,1
CLI-0028,Educación / EdTech,13,17,Básico,Tarjeta de Crédito,1
CLI-0029,Salud & Pharma,3,6,Básico,Transferencia Bancaria (ACH),0
CLI-0030,Educación / EdTech,36,21,Básico,PayPal Business,0
CLI-0031,Educación / EdTech,10,10,Básico,Transferencia Bancaria (ACH),0
CLI-0032,Entretenimiento & Medios,7,19,Básico,Tarjeta de Crédito,0
CLI-0033,Logística y Distribución,40,18,Premium,Transferencia Bancaria (ACH),0
CLI-0034,Logística y Distribución,25,21,Básico,Tarjeta de Crédito,0
CLI-0035,Manufactura Avanzada,34,56,Premium,PayPal Business,0
CLI-0036,Educación / EdTech,8,16,Básico,Transferencia Bancaria (ACH),0
CLI-0037,Educación / EdTech,6,22,Premium,Transferencia Bancaria (ACH),0
CLI-0038,Fintech & Banca,3,36,Básico,Tarjeta de Crédito,0
CLI-0039,Manufactura Avanzada,10,35,Básico,Transferencia Bancaria (ACH),0
CLI-0040,Salud & Pharma,43,13,Básico,PayPal Business,0
CLI-0041,Fintech & Banca,13,28,Premium,Tarjeta de Crédito,0
CLI-0042,Logística y Distribución,48,23,Básico,Tarjeta de Crédito,0
CLI-0043,Fintech & Banca,12,27,Básico,PayPal Business,1
CLI-0044,Educación / EdTech,16,9,Básico,Transferencia Bancaria (ACH),0
CLI-0045,Salud & Pharma,3,17,Básico,Transferencia Bancaria (ACH),0
CLI-0046,Salud & Pharma,5,13,Básico,PayPal Business,1
CLI-0047,Manufactura Avanzada,48,49,Premium,Tarjeta de Crédito,0
CLI-0048,Logística y Distribución,6,8,Premium,PayPal Business,0
CLI-0049,Entretenimiento & Medios,9,23,Básico,Transferencia Bancaria (ACH),0
CLI-0050,Retail y Comercio,4,23,Premium,Tarjeta de Crédito,1
CLI-0051,Fintech & Banca,8,60,Básico,Transferencia Bancaria (ACH),1
CLI-0052,Educación / EdTech,13,20,Básico,PayPal Business,0
CLI-0053,Manufactura Avanzada,17,46,Básico,Tarjeta de Crédito,0
CLI-0054,Logística y Distribución,41,9,Básico,PayPal Business,1
CLI-0055,Educación / EdTech,8,12,Premium,PayPal Business,0
CLI-0056,Fintech & Banca,26,46,Básico,Transferencia Bancaria (ACH),0
CLI-0057,Manufactura Avanzada,13,36,Premium,PayPal Business,0
CLI-0058,Manufactura Avanzada,35,37,Básico,Transferencia Bancaria (ACH),0
CLI-0059,Logística y Distribución,8,22,Premium,Transferencia Bancaria (ACH),0
CLI-0060,Entretenimiento & Medios,33,9,Premium,Transferencia Bancaria (ACH),0
CLI-0061,Fintech & Banca,17,42,Básico,PayPal Business,0
CLI-0062,Logística y Distribución,4,20,Premium,PayPal Business,0
CLI-0063,Logística y Distribución,3,16,Premium,PayPal Business,0
CLI-0064,Fintech & Banca,17,25,Básico,PayPal Business,0
CLI-0065,Manufactura Avanzada,20,30,Premium,Tarjeta de Crédito,0
CLI-0066,Entretenimiento & Medios,17,8,Premium,PayPal Business,0
CLI-0067,Fintech & Banca,18,29,Básico,PayPal Business,0
CLI-0068,Educación / EdTech,7,15,Básico,Tarjeta de Crédito,0
CLI-0069,Salud & Pharma,48,20,Básico,PayPal Business,0
CLI-0070,Salud & Pharma,25,13,Básico,PayPal Business,0
CLI-0071,Fintech & Banca,15,23,Premium,Tarjeta de Crédito,0
CLI-0072,Logística y Distribución,7,14,Básico,PayPal Business,0
CLI-0073,Manufactura Avanzada,17,38,Premium,Tarjeta de Crédito,1
CLI-0074,Educación / EdTech,48,19,Premium,PayPal Business,0
CLI-0075,Logística y Distribución,7,21,Básico,Tarjeta de Crédito,0
CLI-0076,Logística y Distribución,5,12,Básico,PayPal Business,1
CLI-0077,Educación / EdTech,41,18,Básico,Transferencia Bancaria (ACH),0
CLI-0078,Fintech & Banca,16,61,Premium,PayPal Business,0
CLI-0079,Manufactura Avanzada,5,52,Premium,PayPal Business,0
CLI-0080,Entretenimiento & Medios,19,15,Premium,Transferencia Bancaria (ACH),0
